,rw,sent,区,单元号,小区名,市,建筑物名称,户室号,村居委会,栋号,楼号,楼层,省,社区,组团名称,自然村组,街路巷名,门牌号
65,0,-瑞金南路63号9层A3号--,,,,,,3号,,,,9层,,,,,瑞金南路,63号
66,0,-延安中路58号供水公司宿舍3-1-6-12--,,,,,,58号,,,,,,,,,延安中路,3
67,0,-保利溪湖5-1-22-3--,,,,,,,,,,,,,,,,5
68,0,-金波路120号7栋2-3-9号--,,,,,,9号,,7栋,,,,,,,金波路,120号
69,0,-三桥南路9号筑城康家楠荞苑2-1-1-3号--,,,康家楠荞,,,3号,,,,,,,,,三桥南路,2
70,0,-花果园X区1栋2-3205--,,,花果园X区,,,3205,,1栋,,,,,,,,2
71,0,-花果园项目v区18-3-805--,,,,,,805,,,,,,,,,花果园,18
72,0,-豆腐巷54号1单元3-5--,,1单元,,,,54号,,,,,,,,,豆腐巷,3
73,0,-花果园T2区2-3-705--,,,,,,705,,,,,,,2区,,花果园,2
74,0,-花溪大道726号23栋1-3--,,,,,,726号,,23栋,,,,,,,花溪大道,1
75,0,-永安寺街9号梦想典城A栋2-2-4--,,,梦想典城,,,9号,,A栋,,,,,,,永安寺街,2
76,0,-甘荫塘什锦巷10号1-2-3-2--,,,,,,10号,,,,,,,,,,1
77,0,-朝阳洞路29号泌苑商务公寓201--,,,,,,201,,,,,,,,,朝阳洞路,29号
78,0,-花果园X区7栋1-1202--,,,花果园X区,,,1202,,7栋,,,,,,,,1
79,0,-帝景传说D5栋3单元201室--,,3单元,帝景传说,,,201室,,D5栋,,,,,,,,
80,0,-甲秀北路235号7-A06-1-8-16--,,,,,,235号,,,,,,,,,甲秀北路,06
81,0,-二桥后冲贵8号贝地-卢加诺住宅小区44-2-13-2号--,,,,,,8号,,,,,,,,,,2
82,0,-花果园项目T2区5-2-1508--,,,,,,1508,,,,,,,2区,,花果园,5
83,0,-公园北路金沙花园5栋4-2--,,,金沙花园,,,,,5栋,,,,,,,公园北路,4
84,0,-向阳路29号1栋3-11--,,,,,,29号,,1栋,,,,,,,向阳路,3
85,0,-贵定路27号--,,,,,,,,,,,,,,,贵定路,27号
86,0,-小河区长江路方源小区3-1-301号--,小河区,,方源小区,,,301号,,,,,,,,,长江路,3
87,0,-党武乡大坝井村拆迁安置点4栋1-4-2--,,,,,,,大坝井村,4栋,,,,党武乡,,,,1
88,0,-北新区路147号7-22--,,,,,,147号,,,,,,,,,北新区路,7
89,0,-万江小区14-4-1--,,,万江小区,,,,,,,,,,,,,14
90,0,-花果园W区1栋1-1603--,,,花果园W区,,,1603,,1栋,,,,,,,,1
91,0,-花果园A南3-1202号--,,,,,,1202号,,,,,,,,,花果园,3
92,0,-民生路10号2-3-7-1--,,,,,,10号,,,,,,,,,民生路,2
93,0,-永乐路永秀巷15号3栋2-602--,,,,,,602,,3栋,,,,,,,永乐路,15号
94,0,-栖霞小区33栋2-1--,,,栖霞小区,,,,,33栋,,,,,,,,2
95,0,-北京路191号4单元5楼10室--,,4单元,,,,10室,,,,5楼,,,,,北京路,191号
96,0,-科开1号苑27-2--,,,,,,1号,,,,,,,,,,27
97,0,-观山湖区金朱东路399号9-2-7-3号--,观山湖区,,,,,3号,,,,,,,,,金朱东路,9
98,0,-金阳南路7号A17-4-4-2--,,,,,,7号,,,,,,,,,金阳南路,17
99,0,-花果园一期11栋2-2008号--,,,,,,2008号,,11栋,,,,,一期,,花果园,2
100,0,-黎苏路44号3-2-7--,,,,,,44号,,,,,,,,,黎苏路,3
101,0,-甘荫塘上坝路1-3-3-2--,,,,,,,,,,,,,,,上坝路,1
102,0,-孟关汽贸城农民新村安置房6栋15层4号--,,,,,,,农民新村,6栋,,15层,,,,,,4号
103,0,-乌金路16号B栋1层8号门面--,,,,,,8号,,B栋,,1层,,,,,乌金路,16号
104,0,-中坝路保障房C2-16-7--,,,,,,,,,,,,,,,中坝路,16
105,0,-英烈路24号平房--,,,,,,,,,,,,,,,英烈路,24号
106,0,-花果园W区4栋3单元2702--,,3单元,花果园W区,,,,,4栋,,,,,,,,2702
107,0,-山水黔城10组团2栋1-1904--,,,山水黔城,,,1904,,2栋,,,,,10组团,,,1
108,0,-富源北路35号3栋-43--,,,,,,35号,,3栋,,,,,,,富源北路,43
109,0,-吉林村石灰窑贵大安置房A1-4-4--,,,,,,,吉林村,,,,,,,石灰窑,,4
